time,temp31,temp180,humi,pressure,altitude,smoke,fire_alarm,,
22:54.8,23.2776379,23.16342924,72.37506676,1016.606697,-27.91,1.68,FALSE,,02:25:12ÂI¤õ
22:54.9,23.2776379,23.15545304,72.402533,1016.534272,-27.31,0.2,FALSE,,02:26:39º¶¤õ
22:55.1,23.26428626,23.14747646,72.39032578,1016.484303,-26.89,0.78,FALSE,,
22:55.2,23.26428626,23.17140508,72.39032578,1016.506956,-27.08,0.11,FALSE,,
22:55.4,23.29098955,23.15545304,72.39490349,1016.466904,-26.75,0.85,FALSE,,
22:55.5,23.29098955,23.16342924,72.4040589,1016.498159,-27.01,1.74,FALSE,,
22:55.7,23.26428626,23.16342924,72.39032578,1016.543071,-27.38,1.68,FALSE,,
22:55.8,23.30701152,23.17140508,72.40863661,1016.491985,-26.96,1.48,FALSE,,
22:56.0,23.29098955,23.16342924,72.39490349,1016.475702,-26.82,0.2,FALSE,,
22:56.1,23.29098955,23.16342924,72.41626612,1016.483188,-26.88,0,FALSE,,
22:56.3,23.2776379,23.16342924,72.37506676,1016.460732,-26.7,0.17,FALSE,,
22:56.4,23.29098955,23.17140508,72.39490349,1016.488242,-26.93,1.37,FALSE,,
22:56.6,23.29098955,23.17140508,72.4040589,1016.484499,-26.89,1.65,FALSE,,
22:56.7,23.29098955,23.17140508,72.4040589,1016.536898,-27.33,1.65,FALSE,,
22:56.9,23.2776379,23.17140508,72.38117037,1016.521927,-27.2,0.92,FALSE,,
22:57.0,23.30701152,23.17140508,72.40863661,1016.49947,-27.02,0,FALSE,,
22:57.2,23.2776379,23.17938055,72.402533,1016.493294,-26.97,0.14,FALSE,,
22:57.3,23.30701152,23.17140508,72.39948119,1016.454557,-26.65,1.51,FALSE,,
22:57.5,23.29098955,23.17938055,72.4040589,1016.478323,-26.84,1.74,FALSE,,
22:57.7,23.32036316,23.18735565,72.39337758,1016.47963,-26.85,1.65,FALSE,,
22:57.8,23.29098955,23.17938055,72.42542153,1016.455866,-26.66,0.8,FALSE,,
22:58.0,23.29098955,23.19533038,72.37659266,1016.555796,-27.49,0.78,FALSE,,
22:58.1,23.29098955,23.17938055,72.38574807,1016.470837,-26.78,0.17,FALSE,,
22:58.3,23.29098955,23.19533038,72.38574807,1016.51088,-27.11,0.73,FALSE,,
22:58.4,23.29098955,23.19533038,72.38574807,1016.503394,-27.05,2.57,FALSE,,
22:58.6,23.29098955,23.18735565,72.41626612,1016.457173,-26.67,1.65,FALSE,,
22:58.7,23.2776379,23.19533038,72.34454871,1016.484679,-26.9,0.8,FALSE,,
